iter	Passed	Remaining
0	58	58777
1	59	29511
2	59	19744
3	59	14862
4	59	11931
5	60	9978
6	60	8580
7	60	7534
8	61	6717
9	61	6064
10	61	5530
11	61	5084
12	62	4707
13	62	4385
14	62	4104
15	62	3858
16	62	3641
17	63	3449
18	63	3277
19	63	3123
20	63	2983
21	64	2855
22	64	2739
23	64	2632
24	65	2535
25	65	2444
26	65	2361
27	65	2283
28	66	2210
29	66	2142
30	66	2078
31	66	2018
32	66	1962
33	67	1908
34	67	1859
35	67	1812
36	67	1768
37	68	1725
38	68	1685
39	68	1647
40	68	1611
41	69	1576
42	69	1544
43	69	1512
44	69	1482
45	70	1454
46	70	1426
47	70	1400
48	70	1374
49	71	1350
50	71	1327
51	71	1304
52	71	1282
53	72	1261
54	72	1241
55	72	1221
56	72	1203
57	72	1184
58	73	1167
59	73	1150
60	73	1133
61	73	1117
62	74	1102
63	74	1087
64	74	1073
65	74	1059
66	75	1045
67	75	1031
68	75	1018
69	75	1006
70	75	994
71	76	982
72	76	970
73	76	959
74	76	948
75	77	937
76	77	927
77	77	917
78	77	907
79	78	897
80	78	888
81	78	878
82	78	869
83	78	861
84	79	851
85	79	842
86	79	833
87	79	825
88	79	817
89	80	809
90	80	802
91	80	794
92	80	787
93	80	780
94	81	773
95	81	766
96	81	760
97	81	753
98	82	747
99	82	741
100	82	735
101	82	728
102	82	722
103	83	717
104	83	711
105	83	706
106	83	700
107	84	695
108	84	690
109	84	685
110	84	680
111	85	675
112	85	670
113	85	665
114	85	660
115	86	655
116	86	651
117	86	646
118	86	641
119	86	637
120	87	633
121	87	629
122	87	623
123	87	620
124	88	616
125	88	612
126	88	608
127	88	603
128	88	599
129	89	596
130	89	592
131	89	588
132	89	585
133	90	581
134	90	578
135	90	574
136	90	571
137	90	567
138	91	564
139	91	561
140	91	558
141	91	554
142	92	551
143	92	548
144	92	545
145	92	542
146	93	539
147	93	536
148	93	534
149	93	531
150	93	528
151	94	525
152	94	522
153	94	520
154	94	517
155	95	515
156	95	512
157	95	509
158	95	507
159	96	504
160	96	502
161	96	499
162	96	497
163	97	494
164	97	492
165	97	490
166	97	487
167	98	485
168	98	483
169	98	481
170	98	479
171	99	476
172	99	474
173	99	472
174	99	470
175	100	468
176	100	466
177	100	464
178	100	462
179	100	459
180	101	457
181	101	455
182	101	453
183	101	451
184	102	449
185	102	447
186	102	445
187	102	443
188	102	441
189	103	440
190	103	438
191	103	436
192	103	434
193	104	432
194	104	430
195	104	429
196	104	427
197	105	425
198	105	423
199	105	422
200	105	420
201	106	418
202	106	417
203	106	415
204	106	414
205	107	412
206	107	410
207	107	409
208	107	407
209	107	406
210	108	404
211	108	402
212	108	401
213	108	399
214	109	398
215	109	396
216	109	395
